date,open,close,high,low,volume,amount
2024-09-06,16210,16545,16560,16185,452112,73791893504
2024-09-09,16605,16880,16950,16385,741676,123161165824
2024-09-10,16865,16780,16945,16725,556627,93766430720
2024-09-11,16710,16745,16895,16630,547142,91802095616
2024-09-12,16745,17045,17080,16670,607532,102331600896
2024-09-13,17065,17025,17195,16950,496911,84745719808
2024-09-18,17500,17715,17880,17410,526091,93091352576
2024-09-19,17700,18020,18045,17650,603108,107705729024
2024-09-20,18045,17875,18045,17805,477912,85716664320
2024-09-23,17850,17460,17850,17310,660629,115626160128
2024-09-24,17505,18215,18245,17495,647861,115076546560
2024-09-25,18285,18300,18825,18220,975851,180695871488
2024-09-26,18200,18440,18730,18100,894703,165379543040
2024-09-27,18590,18555,18665,18220,719399,132738740224
2024-09-30,18550,19645,19780,18420,784439,150112382976
2024-10-08,19815,18890,19850,18760,545233,104813146112
2024-10-09,18890,18920,19485,18830,758807,145718153216
2024-10-10,18750,18045,18935,18045,821371,152908070912
2024-10-11,17920,18100,18150,17745,726031,130354987008
2024-10-14,18220,18180,18525,18030,609030,111408115712
2024-10-15,18170,18375,18445,18120,510677,93345079296
2024-10-16,18370,17760,18410,17640,627035,113279655936
2024-10-17,17810,17740,18040,17615,357689,63866159104
2024-10-18,17790,18295,18375,17685,497428,90344603648
2024-10-21,18280,18170,18280,17850,385080,69572321280
2024-10-22,18175,18380,18475,18090,405409,74140512256
2024-10-23,18330,18045,18440,17960,364757,66546705920
2024-10-24,18020,18170,18175,17905,279535,50421686528
2024-10-25,18145,17760,18320,17670,460017,82970947584
2024-10-28,17840,17910,18035,17780,294618,52764050176
2024-10-29,17850,17750,18155,17650,399086,71388405760
2024-10-30,17850,17845,17970,17625,313717,55838722816
2024-10-31,17850,17835,17960,17735,226366,40371711488
2024-11-01,17800,17785,17920,17525,342973,60807705600
2024-11-04,17755,17660,17815,17460,257084,45241026304
2024-11-05,17650,17880,18000,17560,244081,43312454144
2024-11-06,17880,18125,18185,17815,275301,49648835584
2024-11-07,18065,18285,18375,18045,246747,44982240000
2024-11-08,18235,18355,18730,18235,418259,77526261760
2024-11-11,18260,18220,18575,18100,319185,58593676800
2024-11-12,18205,17905,18225,17750,303710,54696064768
2024-11-13,17910,17815,17960,17720,189217,33751076352
2024-11-14,17850,17620,17930,17535,208572,36951732480
2024-11-15,17705,17650,17780,17520,183830,32419704832
2024-11-18,17690,17410,17720,17155,295294,51279114496
2024-11-19,17410,17460,17560,17320,171456,29893063936
2024-11-20,17460,17765,17785,17405,196571,34589971456
2024-11-21,17645,17720,17820,17600,183492,32510766848
2024-11-22,17680,17325,17760,17185,216797,37838904320
2024-11-25,17355,17460,17560,17220,219084,38099896064
2024-11-26,17480,17470,17560,17365,161850,28269298432
2024-11-27,17480,17695,17730,17325,164784,28815589632
2024-11-28,17950,18125,18230,17925,342287,61963648256
2024-11-29,18060,18260,18400,18005,453451,82795520000
2024-12-02,18270,18210,18365,18155,353721,64618324992
2024-12-03,18195,18765,18860,18165,589041,108945162240
2024-12-04,18700,18685,18835,18585,458641,85781528576
2024-12-05,18635,18640,18955,18535,670728,125796524032
2024-12-06,18690,19030,19180,18660,726054,137234526208
2024-12-09,18970,18740,19040,18545,631170,118668800000
2024-12-10,18900,18530,18930,18405,640377,119776751616
2024-12-11,18530,18830,18855,18450,492822,91968794624
2024-12-12,18830,18750,18890,18615,483138,90580094976
2024-12-13,18650,18525,18700,18350,552561,102188007424
2024-12-16,18510,18480,18615,18320,430059,79417171968
2024-12-17,18460,18320,18585,18270,413472,76177416192
2024-12-18,18285,17825,18325,17770,572958,103072051200
2024-12-19,17850,17595,17900,17510,464977,82335186944
2024-12-20,17650,17660,17780,17595,373352,66084337920
2024-12-23,17600,17495,17610,17330,522934,91410489344
2024-12-24,17500,17625,17635,17420,327870,57456632064
2024-12-25,17660,17705,17785,17540,409615,72429395968
2024-12-26,17730,17505,17730,17500,356019,62738640128
2024-12-27,17535,17645,17745,17450,412738,72653627392
2024-12-30,17705,17885,17930,17535,507619,90042671104
2024-12-31,17910,17820,17915,17745,323837,57690971904
2025-01-02,17780,17575,17845,17550,359299,63613063168
2025-01-03,17590,16840,17645,16680,842308,143938060288
2025-01-06,16925,16750,16925,16640,487020,81825718272
2025-01-07,16825,16630,16900,16370,587087,97610416128
2025-01-08,16700,16795,16830,16640,381339,63823175936
2025-01-09,16805,16910,16975,16680,465499,78340898816
2025-01-10,16920,16980,17125,16900,479301,81475313664
2025-01-13,17000,17020,17235,16865,526245,89766129664
2025-01-14,16945,17360,17365,16880,514286,88058454016
2025-01-15,17380,17425,17465,17260,380520,66010727168
2025-01-16,17410,17560,17680,17370,496721,87246942208
2025-01-17,17530,17475,17650,17380,504244,88338407424
2025-01-20,17445,17415,17505,17220,511258,88887607296
2025-01-21,17440,17390,17765,17370,545512,96099782656
2025-01-22,17370,17435,17505,17320,415116,72272420864
2025-01-23,17445,17310,17635,17220,542117,94356385792
2025-01-24,17320,17430,17490,17040,463667,79978012672
2025-01-27,17430,17450,17475,17185,278009,48161190656
2025-02-05,17350,17065,17405,16825,308713,52757246976
2025-02-06,17060,17290,17335,17015,305993,52581461504
2025-02-07,17295,17500,17595,17270,410581,71828021248
2025-02-10,17450,17520,17525,17200,432425,74928582656
2025-02-11,17530,17385,17665,17340,442270,77340196864
2025-02-12,17325,17825,17830,17270,540678,94831828992
2025-02-13,17800,17605,17875,17580,539432,95740178432
2025-02-14,17600,17935,18010,17600,502362,89608376320
2025-02-17,17955,17805,18075,17765,526559,94227787776
2025-02-18,17800,17870,17940,17650,505555,90097725440
2025-02-19,17850,17780,17880,17650,501433,89095696384
2025-02-20,17825,17950,18005,17765,364901,65269837056
2025-02-21,17970,17845,18230,17835,470521,84992421888
2025-02-24,17825,17895,17950,17775,274007,48962562048
2025-02-25,17945,17650,18050,17620,454145,81270886400
2025-02-26,17625,17600,17760,17485,368407,64919265024
2025-02-27,17660,17685,17720,17435,320769,56371669760
2025-02-28,17750,17710,17775,17555,319311,56419037184
2025-03-03,17785,17755,17865,17670,315869,56095706112
2025-03-04,17765,17665,17880,17640,381834,67860241920
2025-03-05,17610,17375,17615,17275,408323,70991134720
2025-03-06,17415,17565,17575,17225,388794,67652730624
2025-03-07,17580,17380,17600,17340,345075,60319017728
